

  id  |        name        |  country   | byear | position 
 ML18   | 15.10.21  |  28
 VJ28   | 18.10.02  |  28
 AM21   | 10.12.08  |  29
 BM21   | 15.09.30  |  29
 RY25   | 15.12.08  |  31
 JS31   | 18.11.07  |  31
 NF06   | 11.05.03  |  35
 LT35   | 14.11.04  |  35
 MR35   | 17.11.01  |  35
(296 rows)

   id   |         name          | competition | year | manager |         enemy          | goal | lost |   date   
--------+-----------------------+-------------+------+---------+------------------------+------+------+----------
 l18y01 | Qualifying league     | CL          | 2018 | JL      | AS Roma                |    3 |    0 | 18.09.19
 l18y02 | Qualifying league     | CL          | 2018 | JL      | PFC CSKA Moscow        |    0 |    1 | 18.10.02
 l18y03 | Qualifying league     | CL          | 2018 | JL      | FC Viktoria Plzeň      |    2 |    1 | 18.10.23
 l18y04 | Qualifying league     | CL          | 2018 | SS      | FC Viktoria Plzeň      |    5 |    0 | 18.11.07
 l18y05 | Qualifying league     | CL          | 2018 | SS      | AS Roma                |    2 |    0 | 18.11.27
 l18y06 | Qualifying league     | CL          | 2018 | SS      | PFC CSKA Moscow        |    0 |    3 | 18.12.12
 w18f04 | Semi Final            | CW          | 2018 | SS      | Kashima Antlers        |    3 |    1 | 18.12.19
 w18f02 | Final                 | CW          | 2018 | SS      | Al Ain                 |    4 |    1 | 18.12.22
 l18161 | Round16 1st leg       | CL          | 2018 | SS      | AFC Ajax               |    2 |    1 | 19.02.13
 l18162 | Round16 2nd leg       | CL          | 2018 | SS      | AFC Ajax               |    1 |    4 | 19.03.05
 l17y01 | Qualifying league     | CL          | 2017 | ZZ      | APOEL                  |    3 |    0 | 17.09.13
 l17y02 | Qualifying league     | CL          | 2017 | ZZ      | Borussia Dortmund      |    3 |    1 | 17.09.26
 l17y03 | Qualifying league     | CL          | 2017 | ZZ      | Tottenham Hotspur FC   |    1 |    1 | 17.10.17
 l17y04 | Qualifying league     | CL          | 2017 | ZZ      | Tottenham Hotspur FC   |    1 |    3 | 17.11.01
 l17y05 | Qualifying league     | CL          | 2017 | ZZ      | APOEL                  |    6 |    0 | 17.11.21
 l17y06 | Qualifying league     | CL          | 2017 | ZZ      | Borussia Dortmund      |    3 |    2 | 17.12.06
 w17f04 | Semi Final            | CW          | 2017 | ZZ      | Al Jazira              |    2 |    1 | 17.12.13
 w17f02 | Final                 | CW          | 2017 | ZZ      | Gremio                 |    1 |    0 | 17.12.16
 l17161 | Round16 1st leg       | CL          | 2017 | ZZ      | Paris Saint-Germain FC |    3 |    1 | 18.02.14
 l17162 | Round16 2nd leg       | CL          | 2017 | ZZ      | Paris Saint-Germain FC |    2 |    1 | 18.03.06
 l17081 | Quarter Final 1st leg | CL          | 2017 | ZZ      | Juventus FC            |    3 |    0 | 18.04.03
 l17082 | Quarter Final 2nd leg | CL          | 2017 | ZZ      | Juventus FC            |    1 |    3 | 18.04.11
 l17041 | Semi Final 1st leg    | CL          | 2017 | ZZ      | FC Bayern München      |    2 |    1 | 18.04.25
 l17042 | Semi Final 2nd leg    | CL          | 2017 | ZZ      | FC Bayern München      |    2 |    2 | 18.05.01
 l17011 | Final                 | CL          | 2017 | ZZ      | Liverpool FC           |    3 |    1 | 18.05.26
 l16y01 | Qualifying league     | CL          | 2016 | ZZ      | Sporting Clube         |    2 |    1 | 16.09.14
 l16y02 | Qualifying league     | CL          | 2016 | ZZ      | Borussia Dortmund      |    2 |    2 | 16.09.27
 l16y03 | Qualifying league     | CL          | 2016 | ZZ      | Legia Warszawa         |    5 |    1 | 16.10.18
 l16y04 | Qualifying league     | CL          | 2016 | ZZ      | Legia Warszawa         |    3 |    3 | 16.11.02
 l16y05 | Qualifying league     | CL          | 2016 | ZZ      | Sporting Clube         |    2 |    1 | 16.11.22
 l16y06 | Qualifying league     | CL          | 2016 | ZZ      | Borussia Dortmund      |    2 |    2 | 16.12.07
 w16f04 | Semi Final            | CW          | 2016 | ZZ      | CF América             |    2 |    0 | 16.12.15
 w16f02 | Final                 | CW          | 2016 | ZZ      | Kashima Antlers        |    4 |    2 | 16.12.18
 l16161 | Round16 1st leg       | CL          | 2016 | ZZ      | SSC Napoli             |    3 |    1 | 17.02.15
 l16162 | Round16 2nd leg       | CL          | 2016 | ZZ      | SSC Napoli             |    3 |    1 | 17.03.07
 l16081 | Quarter Final 1st leg | CL          | 2016 | ZZ      | FC Bayern München      |    2 |    1 | 17.04.12
 l16082 | Quarter Final 2nd leg | CL          | 2016 | ZZ      | FC Bayern München      |    4 |    2 | 17.04.18
 l16041 | Semi Final 1st leg    | CL          | 2016 | ZZ      | Atletico Madrid        |    3 |    0 | 17.05.02
 l16042 | Semi Final 2nd leg    | CL          | 2016 | ZZ      | Atletico Madrid        |    1 |    2 | 17.05.10
 l16011 | Final                 | CL          | 2016 | ZZ      | Juventus FC            |    4 |    1 | 17.06.03
 l15y01 | Qualifying league     | CL          | 2015 | RB      | FC Shakhtar Donetsk    |    4 |    0 | 15.09.15
 l15y02 | Qualifying league     | CL          | 2015 | RB      | Malmö FF               |    2 |    0 | 15.09.30
 l15y03 | Qualifying league     | CL          | 2015 | RB      | Paris Saint-Germain FC |    0 |    0 | 15.10.21
 l15y04 | Qualifying league     | CL          | 2015 | RB      | Paris Saint-Germain FC |    1 |    0 | 15.11.03
 l15y05 | Qualifying league     | CL          | 2015 | RB      | FC Shakhtar Donetsk    |    4 |    3 | 15.11.25
 l15y06 | Qualifying league     | CL          | 2015 | RB      | Malmö FF               |    8 |    0 | 15.12.08
 l15161 | Round16 1st leg       | CL          | 2015 | ZZ      | AS Roma                |    2 |    0 | 16.02.17
 l15162 | Round16 2nd leg       | CL          | 2015 | ZZ      | AS Roma                |    2 |    0 | 16.03.08
 l15081 | Quarter Final 1st leg | CL          | 2015 | ZZ      | VfL Wolfsburg          |    0 |    2 | 16.04.06
 l15082 | Quarter Final 2nd leg | CL          | 2015 | ZZ      | VfL Wolfsburg          |    3 |    0 | 16.04.12
 l15041 | Semi Final 1st leg    | CL          | 2015 | ZZ      | Manchester City FC     |    0 |    0 | 16.04.26
 l15042 | Semi Final 2nd leg    | CL          | 2015 | ZZ      | Manchester City FC     |    1 |    0 | 16.05.04
 l15011 | Final                 | CL          | 2015 | ZZ      | Atletico Madrid        |    1 |    1 | 16.05.28
 l14y01 | Qualifying league     | CL          | 2014 | CA      | FC Basel               |    5 |    1 | 14.09.16
 l14y02 | Qualifying league     | CL          | 2014 | CA      | PFC Ludogorets Razgrad |    2 |    1 | 14.10.01
 l14y03 | Qualifying league     | CL          | 2014 | CA      | Liverpool FC           |    3 |    0 | 14.10.22
